Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
5,19,0.02052145,0.004337055,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.404161749,0.454652628,0.493471361
5,20,0.020150155,0.004129862,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.399567864,0.449480255,0.472938241
5,21,0.008159346,0.001828384,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.219714595,0.238246449,0.214961261
5,22,0.006509321,0.002639091,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.197104193,0.210524667,0.235247715
5,23,0.007324979,0.001400282,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.191930089,0.204927413,0.20813359
6,0,0.005679663,0.001794372,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.18340492,0.195151016,0.192247017
6,1,0.005679663,0.001188404,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.177944889,0.189085018,0.164555073
6,2,0.006103301,0.001320464,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.182233782,0.193929609,0.182606693
6,3,0.006752811,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.17510636,0.186131233,0.1607586
6,4,0.00689522,0,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.193944632,0.209383976,0.184436751
6,5,0.016137945,0.004795421,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.304877087,0.334354578,0.381841816
6,6,0.018132059,0.003680146,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.380657831,0.42810241,0.379565525
6,7,0.029585103,0.004702422,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.687444091,0.798628738,0.912759301
6,8,0.028755655,0.005929584,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.692399613,0.803981974,0.891858738
6,9,0.02763436,0.006832624,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.692297821,0.803661927,0.891011361
6,10,0.027649903,0.007518651,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.698579721,0.810645396,0.827432319
6,11,0.026692089,0.006838195,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.685425329,0.795852735,0.765070893
6,12,0.027768204,0.008612463,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.709278927,0.822556716,0.841425538
6,13,0.027866341,0.011724796,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.738003272,0.85449153,0.74141192
6,14,0.027938599,0.016175272,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.778581124,0.899592116,0.81952671
6,15,0.028959147,0.020070205,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.821113222,0.947039696,1.070698951
6,16,0.02652789,0.013999393,0.00548248,0.003987258,0.005980887,0.004984073,0.004485665,0,0,0.034888509,0.677439337,0.777775492,0.670387342
6,17,0.022584599,0.005757413,0.003916057,0.002848042,0.004272062,0.003560052,0.003204047,0,0,0.024920363,0.503136685,0.57419932,0.573681996
6,18,0.023059308,0.004522733,0.003916057,0.002848042,0.004272062,0.003560052,0.003204047,0,0,0.024920363,0.495499443,0.565802106,0.626695512
6,19,0.020470029,0.004017566,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.400757539,0.450877508,0.397556151
6,20,0.020164329,0.003919558,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.397627338,0.447343598,0.478178717
6,21,0.006895195,0.00162477,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.208459907,0.225523997,0.204653837
6,22,0.00592089,0.001552937,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.182861928,0.194607818,0.171606219
6,23,0.007465427,0.001466092,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.193400606,0.206604188,0.191065276
7,0,0.005679663,0.001353114,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.179281874,0.190586713,0.167038865
7,1,0.005679663,4.82495E-05,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.167531774,0.177531749,0.16603241
7,2,0.005679663,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.167091207,0.177042932,0.177526829
7,3,0.00592089,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.168853886,0.179046839,0.190807189
7,4,0.00689522,0,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.193792908,0.209232253,0.195288814
7,5,0.016298384,0.005020627,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.30792876,0.337791895,0.350696509
7,6,0.017878763,0.003680146,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.378648607,0.425839891,0.378663059
7,7,0.029213225,0.005025138,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.687469707,0.798605192,0.857413831
7,8,0.028991272,0.005726013,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.692143602,0.803758009,0.73951184
7,9,0.027877114,0.006407912,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.690103885,0.801286033,0.801546038
7,10,0.027704506,0.007064969,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.694745285,0.806411882,0.852229088
7,11,0.026704569,0.006424327,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.681640314,0.791666333,0.868676386
7,12,0.027612884,0.007148766,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.694814913,0.806473685,0.90758785
7,13,0.027611133,0.007381017,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.696886013,0.808775285,0.761081263
7,14,0.027668234,0.008160057,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.704309795,0.817035208,0.885229549
7,15,0.028676595,0.008298695,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.712945858,0.826818269,0.943799341
7,16,0.026456323,0.007037315,0.00548248,0.003987258,0.005980887,0.004984073,0.004485665,0,0,0.034888509,0.614104078,0.707406588,0.669889625
7,17,0.022791657,0.005210449,0.003916057,0.002848042,0.004272062,0.003560052,0.003204047,0,0,0.024920363,0.499580718,0.570303447,0.511593094
7,18,0.023365839,0.004432761,0.003916057,0.002848042,0.004272062,0.003560052,0.003204047,0,0,0.024920363,0.496785867,0.567305091,0.540937145
7,19,0.020280297,0.003887239,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.398041505,0.447841415,0.503396362
7,20,0.019659872,0.003767999,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.392412239,0.441472485,0.466736457
7,21,0.006895195,0.001203169,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.204513777,0.221156266,0.217011974
7,22,0.00592089,0.000586384,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.174011228,0.184790564,0.198748759
7,23,0.005679663,9.94024E-05,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.167853069,0.177904197,0.196163366
